Brand,Model,Year,KM_Driven,Fuel_Type,Transmission,Owner,Engine_CC,Mileage_kmpl,Current_Market_Price,Selling_Price
Tata,Nexon,2018,63009,Diesel,Automatic,1,1155,16.3,1337421,989265
Kia,Sonet,2019,20448,Petrol,Manual,0,1247,18.8,649004,330722
Kia,Sonet,2012,5333,Diesel,Manual,1,1469,22.0,1965491,1660336
Hyundai,Creta,2014,109533,Petrol,Manual,2,944,25.0,683769,181904
Maruti,Baleno,2012,129039,Diesel,Manual,2,2162,23.2,1243200,584917
Mahindra,XUV300,2012,64918,Petrol,Automatic,1,1869,17.2,601548,100000
Toyota,Glanza,2012,69322,Petrol,Automatic,3,1117,16.2,1718877,1071465
Honda,Amaze,2015,124208,Diesel,Manual,0,2044,18.4,1753746,1261810
Ford,Figo,2015,128718,Diesel,Automatic,2,887,15.0,943006,293100
Ford,EcoSport,2013,40283,Petrol,Automatic,3,1388,21.2,871563,332477
Ford,EcoSport,2018,25535,Petrol,Automatic,2,2175,21.2,994684,679616
Honda,Amaze,2013,56738,Petrol,Automatic,1,2262,15.8,1759312,1291944
Mahindra,XUV300,2020,83976,Petrol,Manual,3,1257,23.0,1366761,961289
Ford,Figo,2017,52362,Diesel,Automatic,3,1972,19.8,1916336,1510836
Toyota,Glanza,2021,15605,Diesel,Manual,2,1528,24.0,1297949,1095715
Honda,City,2022,143733,Petrol,Manual,1,2257,18.1,958237,561364
Hyundai,Venue,2015,85726,Petrol,Automatic,0,1298,14.9,1950318,1293236
Maruti,Baleno,2012,149567,Petrol,Automatic,2,2067,17.0,1538254,931228
Tata,Altroz,2012,79637,Diesel,Automatic,3,1537,13.5,1385746,760578
Kia,Seltos,2020,84616,Petrol,Manual,0,2112,23.2,1036804,660577
Ford,EcoSport,2016,12934,Diesel,Manual,3,878,24.9,735711,430420
Tata,Nexon,2016,125195,Diesel,Automatic,3,1627,23.2,1834920,1402685
Maruti,Swift,2018,97356,Petrol,Manual,1,1231,24.9,1497741,1093260
Ford,Figo,2020,132371,Diesel,Automatic,2,2046,18.5,838324,449857
Ford,EcoSport,2015,65756,Petrol,Manual,0,1667,16.6,1252283,732071
Maruti,Dzire,2018,136267,Diesel,Automatic,1,2449,19.9,1425523,991331
Maruti,Baleno,2017,141543,Diesel,Manual,3,856,17.6,943679,379609
Toyota,Innova,2021,113738,Petrol,Automatic,2,1363,21.8,535357,180641
Tata,Altroz,2013,120469,Diesel,Manual,0,1085,19.8,985353,295219
Honda,Amaze,2019,28497,Petrol,Automatic,3,1201,22.2,861291,661113
Kia,Sonet,2017,120687,Diesel,Manual,3,1960,19.8,1751845,1299303
Toyota,Innova,2023,48753,Diesel,Automatic,3,2131,13.6,780494,599002
Kia,Sonet,2021,126181,Petrol,Automatic,1,1666,21.1,820928,476990
Maruti,Dzire,2012,146926,Diesel,Manual,2,1866,21.6,986708,195021
Tata,Nexon,2023,71796,Petrol,Manual,1,1766,15.5,1482880,1291076
Honda,City,2022,105649,Diesel,Manual,2,2408,13.1,956876,608661
Hyundai,i20,2021,21636,Petrol,Automatic,3,1126,20.3,544611,415719
Honda,Amaze,2015,135315,Diesel,Automatic,2,991,14.8,1974762,1206762
Maruti,Dzire,2020,24833,Diesel,Manual,2,1441,21.6,1372423,1176102
Hyundai,Creta,2013,132532,Diesel,Manual,1,1852,13.9,1061379,396415
Kia,Sonet,2023,105493,Petrol,Automatic,2,1928,13.0,1428480,1137862
Kia,Sonet,2018,121895,Diesel,Manual,1,1925,22.8,818115,225641
Honda,City,2016,116927,Petrol,Automatic,0,1722,17.6,1351323,914906
Mahindra,Scorpio,2019,25721,Petrol,Manual,2,2349,19.1,1744373,1571275
Tata,Nexon,2015,109335,Diesel,Manual,3,1039,23.7,1074248,521598
Tata,Nexon,2013,108510,Diesel,Manual,0,886,15.6,1400234,879938
Honda,City,2014,121470,Diesel,Manual,2,917,22.1,531714,100000
Tata,Nexon,2018,89513,Petrol,Automatic,3,2450,18.1,566043,132035
Hyundai,Venue,2014,37891,Petrol,Automatic,1,1185,16.4,1620097,1072536
Honda,City,2023,74286,Diesel,Automatic,0,1419,22.5,977764,749540
Hyundai,Venue,2021,7776,Diesel,Manual,3,1204,21.6,1048967,880927
Maruti,Dzire,2019,92097,Diesel,Automatic,3,1084,16.9,730896,346032
Tata,Altroz,2022,66460,Petrol,Manual,0,1542,24.3,1814840,1609758
Maruti,Baleno,2022,56807,Petrol,Manual,1,1097,14.5,948834,698657
Honda,City,2016,149997,Petrol,Manual,2,1325,12.1,969553,341536
Maruti,Baleno,2015,17964,Petrol,Manual,2,1063,22.8,818096,508738
Honda,Amaze,2016,25221,Petrol,Automatic,3,941,12.2,1033644,616164
Honda,City,2022,26420,Diesel,Manual,1,1830,15.2,1719290,1564093
Honda,City,2021,140925,Petrol,Automatic,2,1197,14.2,1403093,992315
Toyota,Innova,2019,19554,Diesel,Automatic,2,1592,22.6,1523132,1323362
Hyundai,i20,2014,7747,Petrol,Manual,1,1817,12.7,1692879,1149594
Tata,Nexon,2018,76296,Diesel,Automatic,3,2356,25.0,621119,248916
Toyota,Glanza,2014,99633,Diesel,Manual,3,1491,24.8,1398453,755425
Honda,Amaze,2020,59672,Diesel,Manual,2,1434,21.0,1528047,1207568
Hyundai,Venue,2019,136520,Diesel,Manual,1,1855,17.8,1193802,705902
Mahindra,Scorpio,2015,62628,Diesel,Manual,0,1343,21.2,1295979,864563
Maruti,Baleno,2016,91413,Diesel,Manual,1,2051,21.5,1463128,835882
Kia,Seltos,2019,140728,Diesel,Manual,3,1579,18.4,1081878,672238
Mahindra,XUV300,2015,103665,Diesel,Automatic,0,962,23.0,1223117,556337
Maruti,Swift,2019,88254,Diesel,Automatic,2,1139,17.5,860588,442310
Toyota,Innova,2023,51710,Petrol,Manual,2,1323,18.4,946477,797947
Mahindra,Scorpio,2015,107398,Petrol,Manual,3,2419,20.1,1538710,1090644
Kia,Sonet,2022,110601,Petrol,Automatic,1,1851,21.1,842303,556814
Honda,City,2019,99562,Diesel,Automatic,3,1330,16.3,884141,547623
Mahindra,Scorpio,2018,63154,Petrol,Automatic,1,2329,23.7,852988,454422
Mahindra,XUV300,2015,121954,Diesel,Manual,0,1614,21.1,1152585,559557
Maruti,Dzire,2023,83248,Diesel,Manual,0,1239,14.8,893068,660872
Tata,Nexon,2015,34853,Petrol,Automatic,0,1717,20.6,500956,159160
Tata,Altroz,2022,80085,Petrol,Automatic,0,2418,21.3,1491501,1200156
Tata,Altroz,2015,89711,Diesel,Manual,2,1610,17.5,1621679,1143877
Toyota,Glanza,2014,77158,Diesel,Manual,2,1529,12.5,1580702,907890
Maruti,Baleno,2016,44282,Diesel,Manual,3,871,14.3,1124345,689290
Hyundai,Creta,2022,111035,Diesel,Automatic,0,1964,19.6,1433894,1144906
Ford,EcoSport,2022,95982,Petrol,Automatic,0,1535,20.5,1187632,873010
Maruti,Swift,2018,57248,Diesel,Manual,2,2410,16.1,1501367,1186552
Ford,Figo,2015,16782,Diesel,Manual,0,2491,19.8,898483,442809
Ford,Figo,2021,67262,Diesel,Automatic,3,2498,16.4,1759909,1463897
Hyundai,Venue,2021,40636,Diesel,Automatic,1,1973,16.9,658682,486554
Kia,Seltos,2018,139009,Diesel,Automatic,2,1347,23.5,1922072,1458533
Honda,Amaze,2020,47380,Petrol,Automatic,1,2194,18.0,1169538,913908
Toyota,Glanza,2013,17960,Diesel,Manual,0,859,17.9,1900819,1308063
Maruti,Swift,2014,95514,Petrol,Manual,2,2182,22.0,1167270,433843
Toyota,Innova,2021,98801,Diesel,Manual,3,1357,12.3,1305927,967365
Kia,Sonet,2014,96005,Diesel,Manual,1,1248,19.1,1265663,641034
Kia,Seltos,2015,61271,Petrol,Manual,1,2052,20.0,816591,266859
Maruti,Swift,2020,5370,Petrol,Automatic,0,1762,21.5,825986,631766
Hyundai,Venue,2022,136609,Diesel,Manual,2,1747,15.9,1051858,641423
Hyundai,Creta,2019,101157,Petrol,Automatic,2,1731,14.7,1667583,1296795
Kia,Sonet,2019,50143,Petrol,Manual,0,1868,16.6,672719,385443
Honda,Amaze,2015,140383,Diesel,Automatic,2,1489,20.0,1702785,1135519
Kia,Seltos,2013,53048,Petrol,Automatic,2,2130,16.7,1926500,1314460
Toyota,Glanza,2016,23143,Petrol,Automatic,0,864,14.1,633039,206746
Toyota,Innova,2021,116321,Diesel,Manual,2,1736,23.4,946101,542375
Ford,Figo,2020,75813,Petrol,Automatic,3,924,17.0,713614,369878
Toyota,Innova,2021,57347,Diesel,Automatic,0,1722,19.5,1536424,1225270
Maruti,Baleno,2018,49064,Diesel,Automatic,3,1705,23.2,1226604,844577
Hyundai,i20,2012,46057,Diesel,Manual,3,1913,19.8,1266424,686134
Tata,Nexon,2014,25606,Diesel,Automatic,2,2406,23.8,1103779,714768
Maruti,Baleno,2015,123662,Diesel,Manual,1,1718,23.8,1289472,807438
Toyota,Glanza,2020,90963,Petrol,Manual,3,2447,22.7,1830387,1481461
Toyota,Innova,2016,128097,Diesel,Automatic,2,1906,16.9,916471,474382
Mahindra,XUV300,2012,17173,Diesel,Manual,3,2246,14.7,1053973,663570
Hyundai,Creta,2020,140229,Petrol,Manual,3,2322,15.2,1503681,1051373
Toyota,Glanza,2013,36799,Petrol,Automatic,3,1697,22.5,706262,162420
Toyota,Glanza,2012,39433,Diesel,Manual,1,2001,24.6,1726221,1283680
Hyundai,Venue,2022,101605,Diesel,Automatic,1,1107,16.6,1934292,1643197
Hyundai,i20,2018,126913,Diesel,Manual,1,1144,17.6,896571,398599
Tata,Nexon,2018,117746,Petrol,Automatic,3,1875,22.3,1675980,1282351
Mahindra,Scorpio,2023,138334,Petrol,Automatic,2,874,15.7,1079273,736679
Tata,Nexon,2015,30702,Diesel,Manual,0,1252,15.9,1536393,1247549
Hyundai,Venue,2017,139932,Diesel,Manual,2,1961,17.7,1131583,493327
Honda,Amaze,2020,113984,Diesel,Manual,2,2138,14.3,1500637,1163894
Mahindra,Scorpio,2021,105101,Petrol,Automatic,2,870,14.3,1432184,1046598
Hyundai,i20,2022,139937,Petrol,Manual,2,1312,14.1,572593,151245
Toyota,Innova,2018,132755,Petrol,Manual,2,1688,19.6,1141404,650907
Kia,Seltos,2021,9577,Diesel,Manual,1,1828,18.2,1145458,1030412
Tata,Altroz,2015,129851,Diesel,Automatic,0,1264,22.8,691802,100000
Toyota,Glanza,2023,53329,Petrol,Manual,0,1381,13.8,783112,628300
Honda,City,2022,48134,Petrol,Automatic,0,2052,20.5,582057,411035
Toyota,Glanza,2015,22106,Diesel,Manual,3,1170,23.0,733502,213020
Mahindra,Scorpio,2012,59001,Petrol,Manual,1,1631,15.2,1041429,544321
Honda,City,2020,76714,Diesel,Automatic,0,1915,13.9,964540,617137
Tata,Nexon,2012,100648,Diesel,Manual,1,1717,20.4,1969851,1382091
Toyota,Glanza,2018,27888,Diesel,Manual,2,1923,22.8,1430338,1186738
Mahindra,Scorpio,2017,127268,Petrol,Automatic,3,2453,14.4,1797359,1274255
Ford,EcoSport,2016,70104,Petrol,Manual,2,1019,16.7,832272,312705
Hyundai,Venue,2018,36029,Petrol,Manual,3,1920,19.4,1749155,1477359
Hyundai,i20,2015,140841,Diesel,Manual,1,2264,16.8,1337951,730769
Tata,Nexon,2012,100232,Petrol,Automatic,0,2202,16.6,1311348,837832
Tata,Altroz,2016,81789,Petrol,Manual,3,1480,12.7,1921476,1326528
Tata,Nexon,2020,107400,Petrol,Manual,0,1071,23.5,1187915,732730
Ford,EcoSport,2012,124267,Diesel,Manual,0,870,24.0,1173761,460386
Kia,Sonet,2022,131201,Petrol,Automatic,2,1243,20.2,1294573,894531
Maruti,Baleno,2020,149878,Diesel,Automatic,1,1088,18.2,1062689,650428
Maruti,Swift,2014,65528,Diesel,Manual,3,2485,18.6,1662280,1020747
Honda,Amaze,2018,82682,Petrol,Manual,1,1094,23.8,1944463,1475425
Mahindra,Scorpio,2021,79527,Diesel,Manual,1,1883,19.1,1725050,1367432
Maruti,Dzire,2014,125189,Petrol,Automatic,0,1285,24.7,1188691,539299
Ford,EcoSport,2023,110666,Petrol,Manual,1,816,17.9,654696,389514
Maruti,Dzire,2019,39278,Diesel,Manual,2,2134,15.6,1987588,1620516
Tata,Nexon,2023,120009,Diesel,Manual,0,816,18.2,789802,486500
Hyundai,Venue,2019,33908,Diesel,Manual,3,2189,18.0,865122,546050
Mahindra,Scorpio,2020,27560,Diesel,Manual,0,1001,23.9,1990493,1732853
Mahindra,XUV300,2021,46108,Diesel,Automatic,0,826,12.2,1031470,759910
Maruti,Swift,2014,134178,Petrol,Automatic,0,2024,24.4,1674467,890596
Kia,Sonet,2017,124537,Diesel,Automatic,0,882,19.0,1932766,1483844
Kia,Sonet,2023,62718,Diesel,Manual,2,1756,12.6,1141839,935013
Toyota,Innova,2013,132429,Petrol,Automatic,3,959,15.3,1429540,901546
Hyundai,Creta,2021,24900,Diesel,Automatic,1,2487,16.3,788250,610586
Maruti,Baleno,2023,24471,Petrol,Manual,1,2394,13.9,1089019,969099
Maruti,Swift,2020,109176,Petrol,Manual,0,1886,22.2,925848,472546
Mahindra,Scorpio,2016,36645,Petrol,Manual,3,1438,23.1,1116307,626659
Maruti,Swift,2020,124583,Diesel,Automatic,2,1470,15.3,751940,371034
Tata,Nexon,2023,38267,Petrol,Automatic,1,989,22.8,596464,430960
Mahindra,XUV300,2021,65304,Petrol,Automatic,1,2326,23.4,1635213,1389661
Maruti,Swift,2021,39968,Petrol,Manual,1,1749,17.9,1966159,1745911
Ford,Figo,2013,54053,Petrol,Automatic,0,1705,13.2,1015805,612691
Kia,Sonet,2022,19898,Diesel,Manual,0,980,19.3,1245191,1092628
Tata,Nexon,2021,77849,Diesel,Automatic,0,1593,15.1,1063712,736766
Mahindra,Scorpio,2013,66004,Diesel,Manual,1,2110,12.2,1663409,1223169
Hyundai,i20,2013,117205,Diesel,Manual,3,1934,24.7,742621,179999
Maruti,Baleno,2020,55785,Petrol,Manual,1,2336,21.1,504433,237003
Toyota,Glanza,2013,96625,Petrol,Manual,3,1408,19.0,720316,105410
Hyundai,Creta,2016,143908,Petrol,Manual,1,1196,18.8,1105666,596603
Honda,Amaze,2018,77888,Petrol,Manual,0,1539,15.5,1783134,1356101
Maruti,Dzire,2021,21720,Petrol,Automatic,1,1091,20.2,686267,474587
Tata,Nexon,2022,59517,Diesel,Manual,1,1470,15.7,1024052,759041
Kia,Seltos,2012,146495,Petrol,Manual,3,1509,15.7,973319,100000
Kia,Sonet,2012,63616,Diesel,Automatic,3,1068,19.9,1464014,746257
Hyundai,Venue,2016,6399,Diesel,Automatic,0,1086,12.4,1923427,1509436
Ford,EcoSport,2016,23209,Petrol,Manual,2,1287,16.6,1841612,1492353
Ford,Figo,2022,13614,Petrol,Automatic,3,1018,14.2,594314,483548
Toyota,Glanza,2023,89025,Diesel,Automatic,3,1917,12.6,522821,278343
Maruti,Baleno,2015,72051,Diesel,Manual,1,1453,15.2,975879,488727
Honda,Amaze,2013,137747,Diesel,Automatic,3,1039,13.7,1192204,509358
Maruti,Baleno,2014,92625,Diesel,Automatic,3,2453,13.0,1535948,814349
Honda,City,2016,94365,Petrol,Manual,2,2178,17.7,644721,100000
Honda,Amaze,2013,64017,Petrol,Manual,0,1428,13.2,1390779,994809
Toyota,Glanza,2022,13903,Diesel,Automatic,1,839,14.7,664266,488842
Mahindra,Scorpio,2019,88678,Diesel,Manual,2,2210,17.8,1799831,1425519
Honda,City,2013,119644,Petrol,Manual,3,823,17.0,571797,100000
Maruti,Baleno,2019,78744,Diesel,Automatic,3,1420,21.0,1624930,1184542
Hyundai,Venue,2019,77974,Diesel,Automatic,2,1068,14.4,1372614,1041064
Kia,Sonet,2017,7977,Petrol,Manual,3,978,20.7,802917,506083
Ford,EcoSport,2018,78136,Diesel,Automatic,2,1823,12.6,808310,469184
Maruti,Baleno,2012,143559,Diesel,Automatic,0,1795,13.3,1900412,1284615
Honda,City,2015,132412,Diesel,Manual,1,1037,15.9,505482,100000
Hyundai,Creta,2016,22533,Diesel,Automatic,2,868,24.7,757280,356525
Ford,Figo,2022,54278,Petrol,Automatic,3,1428,16.0,1409628,1225409
Kia,Seltos,2013,10723,Petrol,Automatic,2,1650,15.1,1237771,887057
Mahindra,XUV300,2014,127285,Petrol,Manual,0,1388,16.2,815638,109837
Tata,Nexon,2017,77827,Diesel,Automatic,1,953,18.5,596948,117198
Hyundai,Creta,2015,148950,Diesel,Manual,0,1838,18.0,1430480,666890
Maruti,Baleno,2014,87112,Petrol,Automatic,1,2115,20.9,1358059,686965
Hyundai,Creta,2022,48979,Diesel,Automatic,3,2264,20.7,1448767,1288406
Tata,Altroz,2018,20403,Diesel,Automatic,0,2189,17.0,998517,715749
Tata,Altroz,2020,32821,Diesel,Automatic,0,1181,22.1,807763,601931
Hyundai,Creta,2016,126476,Petrol,Manual,1,2310,20.9,1171882,672186
Tata,Nexon,2021,52453,Diesel,Manual,1,1530,15.7,924472,697706
Honda,City,2018,6647,Petrol,Automatic,0,995,23.8,1776988,1419175
Maruti,Dzire,2013,10174,Petrol,Manual,2,1411,17.1,937930,677078
Tata,Nexon,2018,44153,Diesel,Manual,1,2399,14.0,799553,507995
Hyundai,i20,2013,119680,Diesel,Manual,1,2327,21.4,1140052,608804
Honda,City,2017,87821,Petrol,Manual,0,1356,23.7,1871756,1524418
Kia,Seltos,2021,22973,Petrol,Manual,1,1178,16.3,767349,616091
Kia,Seltos,2018,104408,Petrol,Manual,1,2341,13.9,624896,117978
Honda,City,2015,30559,Petrol,Manual,0,1302,12.1,1239964,733066
Mahindra,Scorpio,2014,31414,Petrol,Automatic,1,1338,15.2,1150462,596374
Kia,Seltos,2014,11043,Diesel,Automatic,2,2012,24.8,1006134,552386
Tata,Nexon,2015,94700,Diesel,Automatic,3,1013,17.4,1876539,1270519
Toyota,Innova,2023,127610,Diesel,Automatic,3,959,21.8,1667394,1315304
Hyundai,i20,2020,24958,Diesel,Automatic,1,1906,24.0,764663,505217
Toyota,Innova,2017,15427,Petrol,Manual,2,1962,22.3,645288,380458
Tata,Nexon,2016,38538,Petrol,Manual,1,1946,12.5,520194,143085
Hyundai,i20,2021,110132,Diesel,Automatic,1,1996,22.4,863950,496910
Mahindra,Scorpio,2012,45033,Diesel,Manual,2,1241,15.9,574280,100000
Ford,Figo,2019,33023,Diesel,Automatic,2,822,24.5,956556,628064
Ford,EcoSport,2018,137599,Petrol,Manual,2,2271,22.3,766424,308897
Tata,Altroz,2019,29583,Petrol,Automatic,2,1845,14.2,629560,361168
Tata,Nexon,2018,39936,Diesel,Automatic,0,821,18.6,1714849,1381129
Hyundai,Venue,2021,106011,Petrol,Manual,3,1076,16.8,1855715,1493317
Ford,Figo,2018,119155,Diesel,Automatic,3,1343,14.5,1332030,907478
Hyundai,Creta,2013,149843,Diesel,Automatic,0,2138,21.2,694945,100000
Ford,Figo,2022,121760,Diesel,Automatic,3,2314,16.2,1182161,837520
Kia,Sonet,2013,109284,Petrol,Manual,0,1135,13.6,1372451,784595
Ford,EcoSport,2014,136701,Diesel,Manual,2,2131,19.3,1923601,1180598
Tata,Nexon,2012,114915,Diesel,Manual,0,1613,18.3,1752385,1221813
Mahindra,XUV300,2013,48876,Diesel,Automatic,3,1687,16.9,1870354,1474558
Maruti,Baleno,2016,18039,Petrol,Automatic,1,1659,12.6,577046,249359
Mahindra,XUV300,2014,80616,Diesel,Manual,0,1191,13.5,1293031,792691
Toyota,Innova,2019,51981,Diesel,Automatic,0,1477,17.7,1844064,1482588
Honda,Amaze,2020,107424,Diesel,Manual,2,923,14.7,1483875,1157567
Hyundai,i20,2018,24185,Petrol,Manual,1,1614,20.8,1199150,967723
Mahindra,Scorpio,2016,90390,Petrol,Automatic,1,1263,13.2,1182199,657988
Ford,Figo,2017,7230,Petrol,Automatic,1,1401,24.0,1907267,1493207
Hyundai,Creta,2016,109289,Petrol,Manual,3,848,22.3,1458450,966326
